,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,subs_rank,channel_views_rank
805,Dental Digest,13900000,7450345720,People & Blogs,Dental Digest,324,Unknown,Unknown,People,Unknown,50,231562000,57900,926200,694700,11100000,300000,2020,Aug,12,Unknown,Unknown,Unknown,Unknown,No Data,No Data,518,518
806,T-Series Regional,13900000,5217553897,Entertainment,T-Series Regional,15075,India,IN,Music,111,136,33484000,8400,133900,100500,1600000,100000,2011,Feb,14,28.1,1366417754,5.36,471031528,20.593684,78.96288,667,667
807,ADEL et SAMI,13900000,5465532801,Entertainment,ADEL et SAMI,503,United States,US,Entertainment,161,157,26883000,6700,107500,80600,1300000,0,2018,Mar,12,88.2,328239523,14.7,270663028,37.09024,-95.712891,650,650
808,Jamuna TV,13900000,12129583055,News & Politics,jamuna tv24,6,Bangladesh,BD,Entertainment,3776,6756,1,0,0,0,0.05,0,2021,Feb,10,20.6,167310838,4.19,60987417,23.684994,90.356331,293,293
809,Atlantic Records,13900000,12513842343,Music,Atlantic Records,1660,United States,US,Music,161,137,97284000,24300,389100,291900,4700000,100000,2006,Dec,15,88.2,328239523,14.7,270663028,37.09024,-95.712891,283,283
810,ýýýýýýýý ýý ýýýýýýýýýýýý,13900000,8451754769,Unknown,ýýýýýýýý ýý ýýýýýýýýýýýý,504,United States,US,People,161,50,114261000,28600,457000,342800,5500000,200000,2018,Oct,12,88.2,328239523,14.7,270663028,37.09024,-95.712891,459,459
811,Veritasium,13900000,2165885634,Education,Veritasium,369,United States,US,Education,161,38,44149000,11000,176600,132400,2100000,200000,2010,Jul,21,88.2,328239523,14.7,270663028,37.09024,-95.712891,902,902
812,Alexa Rivera,13900000,3193226072,Howto & Style,Alexa Rivera,288,Unknown,Unknown,Entertainment,Unknown,157,142760000,35700,571000,428300,6900000,300000,2010,Aug,21,Unknown,Unknown,Unknown,Unknown,No Data,No Data,826,826
813,Airrack,13800000,2224911030,Entertainment,Airrack,173,United States,US,Entertainment,161,157,99654000,24900,398600,299000,4800000,300000,2015,Jan,3,88.2,328239523,14.7,270663028,37.09024,-95.712891,896,896
814,Hacksmith Industries,13800000,1820559912,Science & Technology,Hacksmith Industries,887,Canada,CA,Tech,10,14,83943000,21000,335800,251800,4000000,100000,2006,Apr,20,68.9,36991981,5.56,30628482,56.130366,-106.346771,924,924
815,JD Pantoja,13800000,1493776391,People & Blogs,JD Pantoja,16,Unknown,Unknown,Music,Unknown,138,13533000,3400,54100,40600,649600,100000,2017,Jun,5,Unknown,Unknown,Unknown,Unknown,No Data,No Data,951,951
816,ýýýýýýýý/Atro,13800000,2480957682,Gaming,ýýýýýýýý/Atro,1952,Netherlands,NL,Games,4,58,55122000,13800,220500,165400,2600000,200000,2017,Jul,2,85,17332850,3.2,15924729,52.132633,5.291266,876,876
817,123 GO! Spanish,13800000,5019136690,People & Blogs,123 GO! Spanish,520,Mexico,MX,Howto,30,28,26519000,6600,106100,79600,1300000,100000,2019,Mar,13,40.2,126014024,3.42,102626859,23.634501,-102.552784,682,682
818,Geo News,13800000,5727888539,News & Politics,Geo News,190093,Pakistan,PK,News,6,21,100053000,25000,400200,300200,4800000,100000,2007,Jan,10,9,216565318,4.45,79927762,30.375321,69.345116,632,632
819,Kids TV India Hindi Nursery Rhymes,13800000,6646953396,Shows,Kids TV India Hindi Nursery Rhymes,1505,India,IN,Education,112,38,78651000,19700,314600,236000,3800000,100000,2014,Nov,17,28.1,1366417754,5.36,471031528,20.593684,78.96288,571,571
820,Think Music India,13800000,11039343563,Music,Think Music India,4978,India,IN,Music,112,137,217106000,54300,868400,651300,10400000,200000,2009,Aug,15,28.1,1366417754,5.36,471031528,20.593684,78.96288,327,327
821,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13700000,1967930734,Comedy,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,696,Brazil,BR,Entertainment,47,159,87804000,22000,351200,263400,4200000,200000,2015,Feb,6,51.3,212559417,12.08,183241641,-14.235004,-51.92528,916,916
822,Goldmines Premiere,13700000,1973638757,Entertainment,Goldmines Premiere,975,India,IN,Film,113,41,37648000,9400,150600,112900,1800000,100000,2013,Oct,12,28.1,1366417754,5.36,471031528,20.593684,78.96288,914,914
823,MAIKI021,13700000,1950178163,Entertainment,MAIKI021,3298,Brazil,BR,Entertainment,47,159,7438000,1900,29800,22300,357000,0,2008,Jan,22,51.3,212559417,12.08,183241641,-14.235004,-51.92528,917,917
824,The Vishal bhatt,13700000,9596430464,Comedy,The Vishal bhatt,1040,India,IN,Comedy,113,36,379240000,94800,1500000,1100000,18200000,600000,2021,Aug,15,28.1,1366417754,5.36,471031528,20.593684,78.96288,399,399
825,NishaMadhulika,13700000,2939201386,Howto & Style,NishaMadhulika,2158,India,IN,Howto,113,29,22235000,5600,88900,66700,1100000,100000,2009,Aug,2,28.1,1366417754,5.36,471031528,20.593684,78.96288,843,843
826,MyMissAnand,13700000,4963275018,People & Blogs,MyMissAnand,340,India,IN,Entertainment,113,159,27882000,7000,111500,83600,1300000,0,2014,Jul,22,28.1,1366417754,5.36,471031528,20.593684,78.96288,686,686
827,FAPTV,13700000,5457203710,Comedy,FAPTV,863,Vietnam,VN,Comedy,3,36,35124000,8800,140500,105400,1700000,0,2014,Feb,26,28.5,96462106,2.01,35332140,14.058324,108.277199,651,651
828,Wesley Safadï¿½,13700000,8134379376,Music,Wesley Safadï¿½,438,Brazil,BR,Music,47,139,64059000,16000,256200,192200,3100000,0,2009,Jun,21,51.3,212559417,12.08,183241641,-14.235004,-51.92528,471,471
829,infobells,13700000,5178142148,Education,infobells,495,India,IN,Education,113,39,23893000,6000,95600,71700,1100000,100000,2011,Oct,20,28.1,1366417754,5.36,471031528,20.593684,78.96288,669,669
830,Desi Gamers,13700000,2135195239,Gaming,Desi gamers,1,Unknown,Unknown,Tech,Unknown,4183,5,0,0.02,0.02,0.24,0,2020,Apr,14,Unknown,Unknown,Unknown,Unknown,No Data,No Data,906,906
831,Acenix,13600000,2122062016,Gaming,Acenix,368,Spain,ES,Games,16,60,47436000,11900,189700,142300,2300000,200000,2014,Jan,2,88.9,47076781,13.96,37927409,40.463667,-3.74922,909,909
832,Zeinab Harake,13600000,896891351,Unknown,Zeinab Harake,273,Philippines,PH,People,9,51,12088000,3000,48400,36300,580200,100000,2017,Oct,19,35.5,108116615,2.15,50975903,12.879721,121.774017,972,972
833,DALLMYD,13600000,1948925559,Sports,DALLMYD,412,United States,US,Sports,164,11,30677000,7700,122700,92000,1500000,100000,2011,Feb,1,88.2,328239523,14.7,270663028,37.09024,-95.712891,918,918
834,Lindsey Stirling,13600000,3764608356,Music,Lindsey Stirling,199,United States,US,Music,163,139,15277000,3800,61100,45800,733300,100000,2007,May,20,88.2,328239523,14.7,270663028,37.09024,-95.712891,785,785
835,JOJO TV - Hindi Stories,13600000,5141201173,Education,JOJO TV - Hindi Stories,1097,India,IN,Film,114,42,10764000,2700,43100,32300,516700,100000,2016,Dec,25,28.1,1366417754,5.36,471031528,20.593684,78.96288,673,673
